x	u	e	f	v
1.	1.0	1.0	-0.9999999999999996	-1.0
0.99	1.0	1.0	-1.0000000000000009	-1.0
0.995	1.0	1.0	-0.9999999999999997	-1.0
0.98	0.9999999999999988	1.0	-0.9999999999999998	-1.0
0.985	0.9999999999999993	1.0	-1.0000000000000004	-1.0
0.97	0.9999999999999977	1.0	-0.9999999999999987	-1.0
0.975	0.9999999999999981	1.0	-0.999999999999999	-1.0
0.96	0.9999999999999964	1.0	-0.9999999999999976	-1.0
0.965	0.999999999999997	1.0	-0.999999999999998	-1.0
0.95	0.9999999999999953	1.0	-0.9999999999999971	-1.0
0.955	0.9999999999999958	1.0	-0.9999999999999966	-1.0
0.94	0.9999999999999939	1.0	-0.9999999999999949	-1.0
0.945	0.9999999999999944	1.0	-0.9999999999999958	-1.0
0.93	0.9999999999999927	1.0	-0.9999999999999946	-1.0
0.935	0.9999999999999932	1.0	-0.9999999999999946	-1.0
0.92	0.9999999999999918	1.0	-0.9999999999999931	-1.0
0.925	0.9999999999999921	1.0	-0.9999999999999926	-1.0
0.91	0.9999999999999907	1.0	-0.9999999999999918	-1.0
0.915	0.9999999999999911	1.0	-0.9999999999999921	-1.0
0.9	0.9999999999999895	1.0	-0.9999999999999902	-1.0
0.905	0.99999999999999	1.0	-0.9999999999999912	-1.0
0.89	0.9999999999999883	1.0	-0.9999999999999893	-1.0
0.895	0.9999999999999888	1.0	-0.9999999999999899	-1.0
0.88	0.9999999999999871	1.0	-0.9999999999999886	-1.0
0.885	0.9999999999999877	1.0	-0.9999999999999887	-1.0
0.87	0.999999999999986	1.0	-0.9999999999999868	-1.0
0.875	0.9999999999999865	1.0	-0.9999999999999873	-1.0
0.86	0.9999999999999848	1.0	-0.9999999999999858	-1.0
0.865	0.9999999999999853	1.0	-0.9999999999999867	-1.0
0.85	0.9999999999999837	1.0	-0.9999999999999847	-1.0
0.855	0.9999999999999841	1.0	-0.9999999999999852	-1.0
0.84	0.9999999999999825	1.0	-0.9999999999999833	-1.0
0.845	0.999999999999983	1.0	-0.9999999999999838	-1.0
0.83	0.9999999999999813	1.0	-0.9999999999999825	-1.0
0.835	0.9999999999999818	1.0	-0.9999999999999829	-1.0
0.82	0.9999999999999799	1.0	-0.9999999999999811	-1.0
0.825	0.9999999999999805	1.0	-0.9999999999999819	-1.0
0.81	0.9999999999999787	1.0	-0.99999999999998	-1.0
0.815	0.9999999999999792	1.0	-0.9999999999999805	-1.0
0.8	0.9999999999999778	1.0	-0.9999999999999789	-1.0
0.805	0.9999999999999781	1.0	-0.9999999999999788	-1.0
0.79	0.9999999999999767	1.0	-0.9999999999999782	-1.0
0.795	0.9999999999999771	1.0	-0.9999999999999782	-1.0
0.78	0.9999999999999755	1.0	-0.9999999999999771	-1.0
0.785	0.999999999999976	1.0	-0.9999999999999772	-1.0
0.77	0.9999999999999744	1.0	-0.9999999999999756	-1.0
0.775	0.9999999999999748	1.0	-0.9999999999999756	-1.0
0.76	0.9999999999999731	1.0	-0.9999999999999748	-1.0
0.765	0.9999999999999737	1.0	-0.9999999999999746	-1.0
0.75	0.999999999999972	1.0	-0.9999999999999734	-1.0
0.755	0.9999999999999725	1.0	-0.9999999999999736	-1.0
0.74	0.9999999999999708	1.0	-0.9999999999999717	-1.0
0.745	0.9999999999999714	1.0	-0.9999999999999724	-1.0
0.73	0.9999999999999697	1.0	-0.9999999999999711	-1.0
0.735	0.9999999999999701	1.0	-0.9999999999999712	-1.0
