x	u	e	f	v
1.	1.0	1.0	-1.000578771360068	-1.0
0.81	0.9944117647058823	1.0	-0.994136574926923	-1.0
0.64	1.0014117647058824	1.0	-1.0016812773015396	-1.0
0.49	0.9923846153846153	1.0	-0.991952006590221	-1.0
0.36	1.0044755244755246	0.9999999999999998	-1.0053210724941626	-1.0
0.25	0.9874242424242425	0.9999999999861121	-0.9855986722709356	-1.0
0.16	1.0133333333333334	0.9999998874648253	-1.0174609279282054	-1.0
0.09	0.9690000000000001	0.9998765901959134	-0.9603742616595137	-1.0
0.04	1.064	0.9816843611112658	-1.069224911601516	-1.0
0.01	0.6649999999999999	0.6321205588285578	-0.9555100353593937	-1.0
0.	-0.0	-0.0	-0.8522449823203031	-1.0
